Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,CPUStartDateTime,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.273393700,4.2204,4.2204,0.0000,0.0771,4.4524,0.5196,3.9328,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.277614100,6.8781,6.8781,0.0000,0.3228,6.9460,0.5547,6.3913,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.284492200,5.2050,5.2050,0.0000,0.3953,5.1982,0.5299,4.6683,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.289697200,0.4159,0.4159,0.0000,0.3885,0.1062,0.1062,0.0000,0.8445,17.8584,1.2643,3829.2866,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.290113100,4.9790,4.9790,0.0000,0.0788,5.2007,0.5710,4.6297,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.295092100,6.8602,6.8602,0.0000,0.3069,6.8216,0.5082,6.3134,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.301952300,5.1444,5.1444,0.0000,0.2713,5.5870,0.8379,4.7491,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.307096700,0.8182,0.8182,0.0000,0.7198,0.1807,0.1525,0.0282,1.3034,17.0909,-0.4589,3846.6861,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.307914900,5.8334,5.8334,0.0000,0.0823,5.9013,0.6880,5.2133,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.313748300,6.1340,6.1340,0.0000,0.1532,6.0943,0.2378,5.8565,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.319882300,4.9086,4.9086,0.0000,0.1167,4.8495,0.1102,4.7393,5.6087,13.4890,-4.3053,3859.4717,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.324790900,2.4077,2.4077,0.0000,0.0576,2.7513,1.0536,1.6977,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.327198600,5.5454,5.5454,0.0000,0.4067,5.4156,0.4343,4.9813,11.7814,2.4934,-6.1727,3866.7880,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.332744000,5.9222,5.9222,0.0000,0.3053,6.1800,0.7383,5.4417,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.338666200,2.4270,2.4270,0.0000,0.5698,1.9068,0.1084,1.7984,2.8072,9.6631,8.9742,3878.2556,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.341093200,2.6939,2.6939,0.0000,0.0496,2.8656,0.6262,2.2394,10.0433,7.7925,-7.2361,3880.6826,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.343787100,6.2122,6.2122,0.0000,0.2278,6.3964,0.5737,5.8227,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.349999300,7.4346,7.4346,0.0000,0.4159,7.5502,0.6790,6.8712,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.357433900,1.1751,1.1751,0.0000,0.5357,0.7456,0.1908,0.5548,1.4951,10.3971,8.5482,3897.0233,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.358609000,3.2690,3.2690,0.0000,0.1062,3.3654,0.4183,2.9471,10.7171,5.3705,-9.2220,3898.1984,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.361878000,7.3529,7.3529,0.0000,0.2052,7.4690,0.5694,6.8996,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.369230900,4.9867,4.9867,0.0000,0.3265,4.8779,0.2880,4.5899,5.4657,16.6664,5.2514,3908.8203,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.374217600,0.8225,0.8225,0.0000,0.2177,1.2578,0.8878,0.3700,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.375040100,4.9241,4.9241,0.0000,0.6586,5.0413,0.9433,4.0980,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.379964200,6.7996,6.7996,0.0000,0.7829,6.1902,0.4296,5.7606,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.386763800,4.3267,4.3267,0.0000,0.1788,4.2229,0.1660,4.0569,4.5992,14.4125,0.8665,3926.3532,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.391090500,1.4664,1.4664,0.0000,0.0750,1.6243,0.4825,1.1418,14.6850,2.7998,-10.0858,3930.6799,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.392556900,6.3085,6.3085,0.0000,0.2354,6.7085,0.8284,5.8801,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.398865400,6.0578,6.0578,0.0000,0.6412,5.6432,0.3886,5.2546,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.404923200,3.2412,3.2412,0.0000,0.2305,3.1212,0.2193,2.9019,3.6521,15.3357,11.0329,3944.5126,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.408164400,2.5353,2.5353,0.0000,0.1105,2.6118,0.5742,2.0376,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.410699700,7.6724,7.6724,0.0000,0.1920,8.0506,1.0842,6.9664,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.418372100,5.1554,5.1554,0.0000,0.5766,4.6446,0.1320,4.5126,5.5389,18.2229,-1.8868,3957.9615,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.423527500,0.2936,0.2936,0.0000,0.0658,0.9915,0.9915,0.0000,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.423821100,5.0900,5.0900,0.0000,0.7700,4.6175,0.5918,4.0257,18.3128,0.2088,-12.7739,3963.4105,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.428911100,6.3536,6.3536,0.0000,0.3002,6.7592,0.8601,5.8991,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.435264700,5.9837,5.9837,0.0000,6.3584,0.2938,0.2938,0.0000,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.441248400,0.2917,0.2917,0.0000,0.0000,5.6479,0.5206,5.1273,1.0943,15.3706,17.2185,3980.8378,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.441540100,6.1208,6.1208,0.0000,0.3768,6.0030,0.8670,5.1360,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.447660900,5.0140,5.0140,0.0000,0.2571,4.9994,0.4192,4.5802,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.452674900,4.4559,4.4559,0.0000,0.2485,4.2764,0.1331,4.1433,5.0384,14.7904,-3.9441,3992.2643,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.457130800,2.1701,2.1701,0.0000,0.0690,2.4610,1.3086,1.1524,15.3729,3.4430,-10.3345,3996.7202,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.459300900,5.2730,5.2730,0.0000,0.3641,5.0334,0.2706,4.7628,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.464573900,6.5099,6.5099,0.0000,0.1414,6.5097,0.2898,6.2199,NA,NA,NA,NA,NA,NA,NA
python.exe,22256,0x0,Other,0,0,1,Hardware: Legacy Flip,2026-8-20 19:20:22.471083800,4.4125,4.4125,0.0000,0.1443,4.3182,0.1014,4.2168,4.8629,14.7419,10.5100,4010.6732,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.475496300,1.8198,1.8198,0.0000,0.0500,2.1058,0.7891,1.3167,15.1923,1.0867,-10.3294,4015.0857,NA,NA,NA
python.exe,22256,0x0,Other,-1,0,0,Composed: Copy with GPU GDI,2026-8-20 19:20:22.477316100,5.9207,5.9207,0.0000,0.3398,5.9262,0.4881,5.4381,NA,NA,NA,NA,NA,NA,NA
