2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=603.1ms, frames=29, avg_fps=48.1, dt_min=1.00ms, dt_max=49.45ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=602.1ms, frames=29, avg_fps=48.2, dt_min=2.21ms, dt_max=49.45ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=601.9ms, frames=20, avg_fps=33.2, dt_min=14.30ms, dt_max=54.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=602.9ms, frames=30, avg_fps=49.8, dt_min=3.21ms, dt_max=49.45ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=614.4ms, frames=30, avg_fps=48.8, dt_min=6.61ms, dt_max=52.07ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=613.3ms, frames=29, avg_fps=47.3, dt_min=6.56ms, dt_max=51.07ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=609.3ms, frames=29, avg_fps=47.6, dt_min=6.58ms, dt_max=49.45ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=600.3ms, frames=20, avg_fps=33.3, dt_min=8.66ms, dt_max=54.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=603.4ms, frames=20, avg_fps=33.1, dt_min=10.69ms, dt_max=54.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=604.4ms, frames=20, avg_fps=33.1, dt_min=11.69ms, dt_max=54.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=605.4ms, frames=20, avg_fps=33.0, dt_min=13.20ms, dt_max=54.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=608.4ms, frames=20, avg_fps=32.9, dt_min=13.27ms, dt_max=54.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=612.5ms, frames=20, avg_fps=32.7, dt_min=13.27ms, dt_max=54.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=614.7ms, frames=21, avg_fps=34.2, dt_min=2.23ms, dt_max=54.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=616.2ms, frames=21, avg_fps=34.1, dt_min=3.74ms, dt_max=54.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=618.7ms, frames=21, avg_fps=33.9, dt_min=6.25ms, dt_max=54.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=619.8ms, frames=21, avg_fps=33.9, dt_min=7.29ms, dt_max=54.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=622.3ms, frames=21, avg_fps=33.7, dt_min=8.79ms, dt_max=54.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=623.8ms, frames=21, avg_fps=33.7, dt_min=9.82ms, dt_max=54.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=625.3ms, frames=21, avg_fps=33.6, dt_min=11.33ms, dt_max=54.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=627.4ms, frames=21, avg_fps=33.5, dt_min=13.43ms, dt_max=54.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=630.4ms, frames=21, avg_fps=33.3, dt_min=14.30ms, dt_max=54.99ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=638.3ms, frames=29, avg_fps=45.4, dt_min=6.58ms, dt_max=49.45ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=604.1ms, frames=18, avg_fps=29.8, dt_min=14.20ms, dt_max=57.71ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=606.1ms, frames=18, avg_fps=29.7, dt_min=14.20ms, dt_max=59.21ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=607.6ms, frames=19, avg_fps=31.3, dt_min=3.53ms, dt_max=59.21ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=609.6ms, frames=19, avg_fps=31.2, dt_min=5.49ms, dt_max=59.21ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=612.1ms, frames=19, avg_fps=31.0, dt_min=6.99ms, dt_max=60.25ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=613.1ms, frames=19, avg_fps=31.0, dt_min=7.99ms, dt_max=60.25ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=614.6ms, frames=19, avg_fps=30.9, dt_min=9.50ms, dt_max=60.25ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=617.7ms, frames=19, avg_fps=30.8, dt_min=11.52ms, dt_max=61.25ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=621.7ms, frames=19, avg_fps=30.6, dt_min=14.20ms, dt_max=60.75ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=622.7ms, frames=19, avg_fps=30.5, dt_min=14.20ms, dt_max=60.75ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=625.2ms, frames=20, avg_fps=32.0, dt_min=2.53ms, dt_max=61.75ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=627.2ms, frames=20, avg_fps=31.9, dt_min=4.04ms, dt_max=62.25ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=629.7ms, frames=20, avg_fps=31.8, dt_min=6.55ms, dt_max=62.25ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=631.1ms, frames=20, avg_fps=31.7, dt_min=7.92ms, dt_max=62.25ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=634.1ms, frames=20, avg_fps=31.5, dt_min=10.93ms, dt_max=63.26ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=635.1ms, frames=20, avg_fps=31.5, dt_min=11.96ms, dt_max=63.26ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=640.7ms, frames=20, avg_fps=31.2, dt_min=13.79ms, dt_max=63.26ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=642.7ms, frames=20, avg_fps=31.1, dt_min=13.79ms, dt_max=64.26ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=644.7ms, frames=20, avg_fps=31.0, dt_min=13.79ms, dt_max=64.77ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=646.2ms, frames=20, avg_fps=30.9, dt_min=13.79ms, dt_max=64.77ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=647.8ms, frames=20, avg_fps=30.9, dt_min=13.79ms, dt_max=64.77ms, active_count=0, fps_target=60
2025-12-15 13:17:34 - core.animation.animator        - INFO     - [PERF] [ANIM] AnimationManager metrics: duration=649.9ms, frames=20, avg_fps=30.8, dt_min=13.79ms, dt_max=64.77ms, active_count=0, fps_target=60
